0,actually sure manhood even though knew charge would levelled still posted anyway anyway feel men need degraded make past actions women gone righteous bitter 
1,rub never  apart course various versions exist  choose put faith writings primitive bronze age society prefer trust textbook regularly updated reflect latest findings date accurate knowledge world 
1,white man think black vice versa ? 
1,given poor english  spelling punctuation basic sentence structure  think assumption anyone understand exactly saying poor one smileyps highlighted errors latest attempt 
0,yes view would morally correct since brain definition person rights however want support violinist future responsibility disconnect  therefore kill  brainless body brain gets transplanted otherwise waits disconnect late would guilty killing violinist  person  
0,eff talking ? ! wrong thread buddy 
0,quoted answers genesis said please dishonest tell others said 
1,? like putting two electrodes earth getting measurement sort gadget way measure old something using set arbitrary assumptions things need take account rate decay creationists know something seriously wrong radio metric dating methods explain carbon dating wood lava erupted rangitoto  island volcano near auckland nz  indicates erruption around years ago  name said mean red sky suggesting maoris years witnessed event  yet potassium argon dating lava rock given ages half million years old ! alone big flaw person uses logic tell result potassium argon way less years radio carbon date restricted thousands years even several hundreds thousands years radio carbon left came snelling dating dilemma fossil wood ancient sandstone creation   creationists  admissions  answers comes radio metric dating methods see enough something seriously wrong underlying assumptions professor richard mauger says general dates correct ball park assumed correct published disagreement data seldom published discrepencies fuly explained 
1,know wondered time time exactly improbability mean us would find probabilities dealing given sequence deck card pretty improbable guess best avoid tricky fact things stick words 
1,http www answersingenesis org home area isd jones aspwhen judge john jones dover pa considering evidence persuasive evolutionists concerning taught schools could hardly knew field answer would fit time constraints decision making ? judge john jones know going country years ago ? today id opposing evolutionists see mistake religious people made years ago enlightened enough open minded trying suppress ideas ? maybe human nature improve generations following money always comes first 
0,well slavery analogy gay rights past applicability point one property issue  also rooted deep prejudice  morality issue many people oppose gay marriage morality prejudice said slavery many ways analogy work one fact could easily analogy reverse say ones enslaving analogous gay rights lobbyists abolitionists analogous seek protect marriage plantation owners ones really fighting ill conceived rights rights 
0,far observable evidence dictates laws nature sustains universe one single function nature isnt autopilot function needed sustain universe occurs outside natural law nothing defies natural law  whether universe sustaining  ever occurs observable realityi glad responded nu leader issue really hits religion science divide god gradually subliminally coralled spiritual realm absolutely nothing physical observable world function god manifestation supernatural power words realm physical god turf even god exist  biblical definition  physically manifest effect powerthis leaves us spiritual realm realm whether exists affect people yet realm elusive intangible god realm god believed abive reign said realm humans enter die many thoughts effects spiritual realm reality think sufficient say god limited spiritual realm 
0,agree want know vocal homosexual lobby insists term marriage ? emclean sanctity marriage would thing marriage  harmed ?  changed whole definition marriage would change 
1,definition disagreeing  pointing happening retroviruses said open interesting possibilities aware conclusive research taking place know immune system makes use think evidence immunity passed way early mothers milk mechanism  packed payload antibodies prime infant immune system  honest think existence system rather stomps plausibility lamarckian inheritance bother going trouble parent could simply code immunity genes passes offspring ? 
0,get americans freemen faith governments people humorous fell lick bootheels government overlords rights inalienable man one man right intefere another man able please long intefere others government feel ? 
1,know funny thing links found ape man ? could easily find people today look exactly like links scientists found maybe try picking one link site gave could give creationist sites prove anything site proved alternative theory creation god 
1,well certainly shows distinct difference old new testaments ! 
1,source infinite determines conversions destruction evolutions energy 
1,sarah brady straw purchaser knowingly broke law buying gun somebody else instead letting go nics check system knows else done supplied guns 
1,wait confusing history catholic church branch church along byzantine orthodox domonination great schism roman catholic church papacy orthodox church byzantine empire took place pope excommunicated byzantine emperor church  done responded excommunication pope  might patched sacking constantinople fourth crusade initiated pope innocent ii oooops ! protestant church formed henry viii declared head church england place pope act supremacy could divorce marry nescessary never get fit male heir though 
0,cars privilege gun show evidence would support registration first amendment rights constitutional 
1,arguments like well population control never convince pro life advocate abortion okay think amusing pro choice people use arguments pro lifers priority list life makes top pro lifers little like saying well big macs taste good never ever eat filet mignon since burgers taste good ! mean sure burgers taste good filet mignon much better 
0,missing one important fact none reasons required marriage absolutely none combination man woman marry whatever reason want even drunken fun 
0,actually posts providing increasing evidence simple folks get 
0,sinjin crowing plans take family wife children fair weekend safe since normal folks carry gun free pardise ? insane killer escapes field trip county fair yahoo ! news folks never get ! ! folks never rest wierd ideas law protect 
1,target shooting handgun hunting starters also self defense although many people seem great desire defend legal use handgun cops carry ? 
1,well people logic followed contradiction occur 
0,k name current discussion ? 
0,think bad ? watch happens gov takes control saw great tagline day said us get socialized medicine canadians get healthcare ? anyone like insurance premiums free pay least gov takes happy new year 
1,war reason banks shelled millions dollars people could never repay money came somewhere like corporations expected see return investments got nothing laid people result lead rates unemployment housing fiasco 
0,suppose mind releases sperm donor responsibility whatsoever right ? interesting solution abortion issue demands women deny sexuality permitting men run gamut attitude proponent stem hatred fear women ? 
1,false dichotomy limited english language subject beginning etc reference time time dimension space time however thus something could existed  non time sense  beginning space time might absolute beginning partial beginning beginning 
0,back dark side eh argument personal attack upon character opponent ? 
1,whether darwin reason   irrelevant fact remains evidence supports evolution 
0,question prove belief system true ? done spew hate religion even tried actually answer question ask idea god man made plague god even exist right ? god exist done make venomous angry ? would angry non existent ? challenge come rational answer 
1,bother read link see said year babylonian captivity b c southern kingdom israel judah lost national sovereignty retained tribal staff national identity significant book ezra read year babylonian captivity jews still retained lawgivers judges jews maintained identity judicial authority people even years slavery scepter lost babylonian captivity 
1,forgetting life without parole  mean without parole  life without parole also recidivism 
1,state refuses recognise right commit legal union denied least one right available everyone else also affect legal entitlements leo 
1,someone evil things simply good things specifically evil evil absence good 
1,belief adam eve fundamental necessity christian jesus christ believed adam eve created gen male female created blessed called name adam day created adam means man arevthe words jesus christ notice refers old testement history mat answered said unto ye read made beginning made male female mat said cause shall man leave father mother shall cleave wife twain shall one flesh ? mat wherefore twain one flesh therefore god hath joined together let man put asunder mat say unto moses command give writing divorcement put away ? mat saith unto moses hardness hearts suffered put away wives beginning joh beginning word word god word god joh beginning god joh things made without thing made made joh life life light men joh light shineth darkness darkness comprehended joh man sent god whose name john joh came witness bear witness light men might believe joh light sent bear witness light joh true light lighteth every man cometh world joh world world made world knew hitler said necessary attack america best aryan stock already moved would evolve master race 
0,oh undoubtedly offspring inheriting traits ? suffering symptoms malnutrition parents except happening vitro exhibit effects birth bad example trying get others accept 
1,treating woman situation taken account instead black white life must protect attitude seems compassionate consider situation patient instead making arbitrary rules 
0,socially inept losers know argument deny ever made one asked repeatedly example evolution new body part population done confirm fact absolute 
0,archangel right one completely absurd compare tumour healthy fetus separate blood system relatively short space time independent person service pro choice lobby display sort attitude says value human life think abortion acceptable moral choice make case either fetus human individual alive way worthy respect make case ending life way justifiable spite things pro choice believe legislate issue like unless near unanimity suffering anguish caused banning abortion substantial dismissed equally abortion legal seen substitute contraception achieve difficult one without causing psychological harm women feel must make choice 
1,socialism broad category political ideals particular form thinking ? know fascism form socialism way socialism oppressive governments purpose socialism remove class differences society small group bureaucrats enforcing workers class difference 
1,typo friend compress eb bits write ticket field data compression ! lets see million pages bits fantastic please tell us really would like put entire literature mankind   ipod 
0,well aughta shut eh hank ? lol ! p way disprove virgin birth imrahil course neither virgin birth story creation story true similar occurance happen today ppl believe could happened antiquity would consider ridiculous scrutinize occurance degree would never question dogma 
0,point neighbors relationship would get married could know partner would ! despite fancy wording stop gay partner benefits hundreds lost healthcare people take tax money leave va likely go mass healthcare mass disagree gay marriage may move va soon divided nation 
1,argument self defeating theory fact matter much evidence may support theory bad wording claim something fact must proof verified method reasoning reasoning utilized person proving fact 
1,wonderful news nice see least states us common sense least heading towards equality gay couples good hear oregon joining soon 
0,keep starting threads gays called obsession 
0,pro life womens right body body choice none anyone elses business remember control freaks everywhere 
0,knew everything paul written revelation 
0,worry think everyone knows side sole monopoly crazy said vowed rob people fight government said problem women ending broke street really nice 
1,great idea explain tests prove wrong irrelevant 
1,really ? care expound natural explanation christian brother ? really mean another version original natural explanation playing yet another game semantics 
1,disability ? fact survived murderous attempt life ? 
1,well ar ar method used say mya method used date volcanic rock mt vesuvius eruption within years kt boundary dated using several radiometric methods agree within couple million years got info http www ncseweb org resources rnc asplook table 
0,would know winds dead ? prove anything either 
0,antis hung preserving exclusive use ? 
0,comes two groups religious groups believe religious freedom important gay peoples religious freedom religious freedom important safety protection gay families religious beliefs freedom important gay equality civil rights heteros believe gay people sick diseased less human family structure one exist cases groups sense privleged privlege important rights lives gay people 
1,saying simply genes actively control body wrong assuming genes therefore control body fact genes blueprint body genes decided arrangement cells number fingers etc body cells organelles within cells therefore strongly influenced dna sequence 
1,note operative word particular point miriad people take responsibility born child case pregnancy 
1,natural selection works cost benefit basis bats whales cave dwelling birds echolocation confers huge advantage allowing exploit niches closed competing species ground tree dwelling terrestrial animals would marginal zero benefit given noise immediate surroundings 
0,question definition pure know make soap never stink ! ! ! think homeopathic medicine using things like vitamin c prevent colds making sure ingest lots calcium worried ostioperosis ya know stuff makes sense 
1,problem child support owed woman child abortion child claim rights anyone accepted person afterwards different issue hand woman raped man children would expected pay support suspect recent case woman gave man blowjob impregnated semen suit child support rejected grounds way could expected birth outcome 
0,come reason keep bumping maybe paste linked quote every time claim yet uttered ? technically relevant topic 
1,actually make us animals dna determines particular animal human precise definition makes someone person fetu fetus person imo even though may well brain nervous system organs 
1,point miss caterpillar butterfly puppy full grown dog zygote fetus children entities yet grown developed changed entities 
0,word marilyn people united states order shall right preserve state free races shall achieve end use non lethal weaponry continued survival human beings free state entails personal self defense well right food consumption keeping current government law choose possess non lethal weapon  either upon persons within private homes  obligated store aforementioned weapons plus ammo relating use manner serve protect welfare minor child secure persons right wear bullet proof body armour plus live bullet proof houses well drive bullet proof vehicles umm well think enough make anyone laugh wow love hippies ! loud cough loud cough 
1,think check cosmologists astrophysicists astronomers like see scientists accept findings sciences even evolutionists suggest read books whole shebang state universe   report timothy ferris emeritus professsor uc berkeley really good writer ferris taught courses journalism science writing well english philosophy astronomy total diciplines universities books may help understand topic wrinkles time george smoot keay davidson book report cobe experiments verified predicted unevenness background radiation good explanation cosmology general elegant universe fabric cosmos brian greene books require scientific savy may bit difficult 
